ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1
43593,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,266500,4.375,0.93,612.11,360.0,not_neg,not_int,not_lpsm,278000.0,sb,pr,home,1U,4860.0,CIB,540,CIB,25-34,not_inst,95.86330935,North,direct,0,35.0
43953,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,576500,3.625,0.028,398.4,360.0,not_neg,int_only,not_lpsm,778000.0,sb,pr,home,1U,7260.0,CIB,747,EXP,55-64,not_inst,74.10025707,south,direct,0,49.0
41187,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,166500,4.75,1.3242,5109.38,360.0,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,1740.0,EXP,773,CIB,65-74,to_inst,76.37614679,south,direct,0,47.0
31986,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,566500,5.25,0.5754,4502.6,360.0,not_neg,not_int,not_lpsm,738000.0,sb,pr,home,1U,7980.0,CRIF,823,CIB,55-64,not_inst,76.76151762,North,direct,0,32.0
37964,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,236500,3.75,0.2728,7913.3,360.0,not_neg,not_int,not_lpsm,328000.0,sb,pr,home,1U,4620.0,EXP,655,CIB,45-54,to_inst,72.10365854,south,direct,0,26.0
38935,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,146500,4.75,0.5533,2960.0,324.0,not_neg,not_int,not_lpsm,228000.0,sb,pr,home,1U,2160.0,EXP,732,EXP,65-74,to_inst,64.25438596,south,direct,0,45.0
37591,2019,cf,Sex Not Available,pre,type1,p3,l1,nopc,nob/c,86500,4.99,0.9904,2402.5,360.0,not_neg,not_int,not_lpsm,278000.0,sb,pr,home,1U,2400.0,CRIF,671,CIB,55-64,to_inst,31.11510791,south,direct,0,38.0
34372,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,206500,3.75,0.1477,4020.0,360.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,6420.0,CRIF,519,CIB,35-44,not_inst,71.70138889,North,direct,0,7.0
44067,2019,cf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,286500,4.125,1.0795,2717.92,360.0,not_neg,not_int,not_lpsm,378000.0,sb,pr,home,1U,8100.0,CRIF,558,EXP,35-44,to_inst,75.79365079,south,direct,0,38.0
30924,2019,cf,Male,nopre,type2,p1,l1,nopc,b/c,256500,3.99,0.9788,0.0,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,3360.0,CRIF,631,CIB,35-44,not_inst,99.41860465,North,direct,0,41.0
46933,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,126500,3.99,0.6922,3684.02,360.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,2460.0,CRIF,748,CIB,65-74,to_inst,41.07142857,south,direct,0,21.0
43584,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,176500,3.625,0.7068,,240.0,not_neg,int_only,not_lpsm,198000.0,sb,pr,home,1U,6120.0,CRIF,529,EXP,55-64,to_inst,89.14141414,south,direct,0,29.0
30507,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,136500,4.75,0.5825,3996.97,360.0,neg_amm,not_int,not_lpsm,198000.0,sb,ir,home,1U,5340.0,EXP,693,CIB,65-74,to_inst,68.93939394,south,direct,0,45.0
36758,2019,cf,Joint,pre,type1,p3,l1,nopc,nob/c,316500,,,,216.0,not_neg,not_int,not_lpsm,608000.0,sb,pr,home,1U,2760.0,CRIF,645,EXP,65-74,to_inst,52.05592105,central,direct,1,11.0
49877,2019,cf,Female,nopre,type1,p4,l2,nopc,nob/c,526500,4.5,0.8731,0.0,240.0,not_neg,not_int,not_lpsm,758000.0,sb,pr,home,1U,6420.0,CRIF,657,CIB,35-44,not_inst,69.4591029,south,direct,0,48.0
28377,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,406500,3.99,-0.206,96.65,360.0,not_neg,not_int,not_lpsm,718000.0,sb,pr,home,1U,6180.0,CIB,843,EXP,35-44,not_inst,56.61559889,North,direct,0,27.0
49296,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,606500,,,,240.0,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,20340.0,EQUI,546,EXP,45-54,not_inst,,North,direct,1,
50850,2019,ncf,Male,pre,type1,p1,l1,nopc,nob/c,666500,4.375,0.5783,7910.0,360.0,not_neg,not_int,not_lpsm,748000.0,sb,pr,home,1U,9480.0,EXP,803,CIB,35-44,to_inst,89.10427807,North,direct,0,49.0
35500,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,246500,3.5,-0.0622,2559.46,360.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1U,5640.0,CIB,599,CIB,35-44,not_inst,91.97761194,North,direct,0,41.0
45027,2019,ncf,Male,nopre,type1,p4,l1,nopc,nob/c,486500,4.375,0.3758,0.0,360.0,not_neg,not_int,not_lpsm,628000.0,sb,pr,home,1U,7560.0,EXP,884,CIB,35-44,not_inst,77.46815287,south,direct,0,37.0
37220,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,316500,3.75,0.0089,1250.0,360.0,not_neg,not_int,not_lpsm,618000.0,sb,pr,home,1U,6780.0,EXP,561,EXP,45-54,to_inst,51.21359223,south,direct,0,40.0
37501,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,436500,2.875,-0.2373,4350.0,180.0,not_neg,not_int,not_lpsm,1368000.0,sb,pr,home,1U,16740.0,CRIF,620,EXP,45-54,not_inst,31.90789474,south,direct,0,26.0
38468,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,486500,4.375,0.0714,8089.75,360.0,not_neg,not_int,not_lpsm,608000.0,sb,pr,home,1U,7980.0,CRIF,615,CIB,45-54,to_inst,80.01644737,North,direct,0,36.0
42624,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,416500,3.99,0.8074,9285.69,360.0,not_neg,not_int,not_lpsm,438000.0,sb,pr,home,1U,7920.0,CRIF,519,EXP,45-54,to_inst,95.0913242,south,direct,0,43.0
44393,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,76500,,,,360.0,not_neg,not_int,not_lpsm,138000.0,sb,pr,home,1U,1260.0,EXP,512,CIB,45-54,to_inst,55.43478261,south,direct,1,33.0
24976,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,506500,,,,360.0,not_neg,not_int,not_lpsm,808000.0,sb,ir,home,2U,9180.0,EXP,593,CIB,45-54,to_inst,62.68564356,south,direct,1,44.0
37142,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,716500,4.0,0.3799,1820.1,360.0,neg_amm,not_int,not_lpsm,1028000.0,sb,pr,home,1U,14280.0,CIB,860,EXP,45-54,not_inst,69.69844358,North,direct,0,29.0
41574,2019,cf,Joint,nopre,type2,p1,l1,nopc,b/c,496500,4.75,1.2727,0.0,360.0,neg_amm,not_int,not_lpsm,508000.0,sb,pr,home,1U,8940.0,CIB,536,EXP,35-44,not_inst,97.73622047,North,direct,0,41.0
30406,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,366500,5.125,1.495,3296.33,360.0,not_neg,not_int,not_lpsm,458000.0,sb,pr,home,1U,5220.0,CRIF,690,EXP,35-44,not_inst,80.02183406,North,direct,0,45.0
47064,2019,cf,Male,pre,type1,p3,l1,nopc,nob/c,276500,4.375,0.6263,0.0,300.0,not_neg,not_int,not_lpsm,658000.0,sb,pr,home,1U,4260.0,CIB,822,CIB,45-54,not_inst,42.0212766,North,direct,0,48.0
26238,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,216500,4.375,0.8004,2847.5,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,5880.0,EXP,559,CIB,55-64,to_inst,72.65100671,south,direct,0,42.0
30097,2019,,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,186500,,,,360.0,neg_amm,not_int,not_lpsm,228000.0,sb,pr,home,1U,3600.0,CRIF,786,CIB,65-74,to_inst,81.79824561,south,direct,1,33.0
37024,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,356500,3.5,-0.2317,1804.12,360.0,not_neg,not_int,not_lpsm,458000.0,sb,pr,home,1U,7680.0,CRIF,759,EXP,35-44,not_inst,77.83842795,central,direct,0,49.0
44376,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,166500,3.99,0.4912,4146.25,360.0,not_neg,not_int,not_lpsm,238000.0,sb,pr,home,1U,2280.0,EXP,558,CIB,55-64,to_inst,69.95798319,North,direct,0,38.0
43254,2019,ncf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,516500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,8700.0,EQUI,630,EXP,35-44,to_inst,,south,direct,1,
41730,2019,cf,Male,nopre,type1,p1,l2,nopc,nob/c,606500,3.875,-0.3827,6000.0,360.0,not_neg,not_int,not_lpsm,758000.0,sb,pr,home,1U,13800.0,CRIF,794,EXP,45-54,not_inst,80.01319261,North,direct,0,31.0
27067,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,296500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,5640.0,EQUI,738,EXP,45-54,to_inst,,south,direct,1,
32824,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,656500,4.5,0.1968,0.0,360.0,not_neg,not_int,not_lpsm,828000.0,sb,pr,home,1U,17760.0,EXP,669,CIB,45-54,not_inst,79.28743961,North,direct,0,21.0
43828,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,476500,3.75,0.2096,13100.0,360.0,not_neg,not_int,not_lpsm,688000.0,sb,pr,home,1U,7680.0,CRIF,619,CIB,55-64,to_inst,69.25872093,central,direct,0,38.0
39008,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,226500,3.75,0.7631,2639.63,156.0,not_neg,not_int,not_lpsm,338000.0,sb,pr,home,1U,7200.0,CIB,641,CIB,45-54,to_inst,67.01183432,North,direct,0,45.0
40737,2019,cf,Female,pre,type1,p3,l1,nopc,nob/c,456500,4.875,1.2324,6950.0,360.0,not_neg,not_int,not_lpsm,578000.0,sb,pr,home,1U,7920.0,EXP,715,CIB,45-54,to_inst,78.97923875,North,direct,0,39.0
46763,2019,,Male,nopre,type1,p4,l1,nopc,nob/c,366500,,,,360.0,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,5520.0,EQUI,789,EXP,45-54,to_inst,,North,direct,1,
39423,2019,ncf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,826500,4.25,0.5838,2277.5,360.0,not_neg,not_int,not_lpsm,2408000.0,sb,pr,home,1U,12420.0,CIB,686,EXP,45-54,to_inst,34.3230897,south,direct,0,42.0
47557,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,206500,3.5,0.4146,1149.0,180.0,not_neg,not_int,not_lpsm,458000.0,sb,pr,home,1U,5340.0,CRIF,737,CIB,45-54,not_inst,45.08733624,south,direct,0,36.0
31405,2019,cf,Male,nopre,type3,p3,l2,nopc,nob/c,226500,3.99,0.3076,5977.74,360.0,not_neg,not_int,not_lpsm,238000.0,sb,pr,home,1U,2700.0,CRIF,838,CIB,>74,to_inst,95.16806723,North,direct,0,49.0
37228,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,306500,3.5,0.1787,6785.75,336.0,not_neg,not_int,not_lpsm,348000.0,sb,pr,home,1U,5700.0,EXP,570,CIB,25-34,to_inst,88.07471264,south,direct,0,33.0
45564,2019,cf,Male,nopre,type2,p3,l1,nopc,b/c,236500,4.625,0.9825,1774.33,360.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1U,4260.0,CIB,753,CIB,35-44,to_inst,88.24626866,North,direct,0,50.0
48155,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,316500,4.125,0.8925,1178.55,360.0,not_neg,not_int,not_lpsm,358000.0,sb,pr,home,1U,5640.0,CIB,515,CIB,35-44,not_inst,88.40782123,North,direct,0,34.0
34408,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,476500,3.875,0.464,1930.0,360.0,not_neg,not_int,not_lpsm,548000.0,sb,pr,home,1U,4380.0,CRIF,879,CIB,35-44,not_inst,86.95255474,North,direct,0,49.0
29261,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,126500,4.625,0.6647,1247.45,180.0,not_neg,not_int,not_lpsm,188000.0,sb,pr,home,1U,3240.0,CIB,552,CIB,45-54,to_inst,67.28723404,North,direct,0,43.0
28137,2019,ncf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,736500,3.375,-0.211,7598.75,360.0,not_neg,not_int,not_lpsm,1288000.0,sb,pr,home,1U,15180.0,CIB,776,CIB,45-54,to_inst,57.18167702,south,direct,0,25.0
40677,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,326500,3.125,0.0202,0.0,180.0,not_neg,not_int,not_lpsm,558000.0,sb,pr,home,1U,17820.0,CIB,507,CIB,65-74,not_inst,58.5125448,south,direct,0,36.0
49918,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,356500,3.75,0.0488,1561.94,360.0,not_neg,not_int,not_lpsm,528000.0,sb,pr,home,1U,5760.0,CRIF,661,CIB,25-34,not_inst,67.51893939,North,direct,0,36.0
30235,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,56500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,1440.0,EQUI,513,EXP,65-74,to_inst,,North,direct,1,
34341,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,176500,4.125,1.1294,4360.63,240.0,not_neg,not_int,not_lpsm,238000.0,sb,pr,home,1U,5040.0,CIB,730,EXP,35-44,to_inst,74.15966387,North-East,direct,0,34.0
35760,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,156500,3.625,0.1941,3475.0,180.0,not_neg,not_int,not_lpsm,338000.0,sb,pr,home,1U,3900.0,EXP,885,CIB,55-64,to_inst,46.30177515,North,direct,0,37.0
34429,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,376500,3.625,-0.117,2490.0,360.0,not_neg,not_int,not_lpsm,808000.0,sb,pr,home,1U,5040.0,EXP,741,CIB,45-54,not_inst,46.59653465,North,direct,0,49.0
28689,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,126500,3.75,0.6607,,180.0,not_neg,not_int,not_lpsm,268000.0,sb,sr,home,1U,12720.0,CRIF,606,EXP,55-64,to_inst,47.20149254,North,direct,0,20.0
32062,2019,,Joint,nopre,type1,p1,l1,nopc,nob/c,436500,4.375,0.7285,3214.13,360.0,not_neg,not_int,not_lpsm,458000.0,sb,pr,home,1U,8640.0,CIB,758,EXP,25-34,not_inst,95.30567686,south,direct,0,41.0
47850,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,286500,4.5,0.14,5460.6,360.0,not_neg,not_int,not_lpsm,458000.0,sb,pr,home,1U,6180.0,CIB,651,CIB,55-64,to_inst,62.55458515,North,direct,0,30.0
38214,2019,cf,Joint,nopre,type2,p3,l1,nopc,b/c,486500,3.25,0.2624,3198.47,360.0,not_neg,not_int,not_lpsm,608000.0,sb,pr,home,1U,7260.0,CIB,635,EXP,45-54,not_inst,80.01644737,North,direct,0,45.0
39318,2019,cf,Sex Not Available,nopre,type2,p4,l1,nopc,b/c,236500,3.99,0.9335,280.28,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,3600.0,CIB,824,EXP,45-54,to_inst,79.36241611,south,direct,0,38.0
50931,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,456500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,8580.0,EQUI,736,EXP,35-44,not_inst,,North,direct,1,
44353,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,236500,3.625,0.3523,6669.0,360.0,not_neg,not_int,not_lpsm,328000.0,sb,pr,home,1U,2760.0,CIB,648,CIB,65-74,to_inst,72.10365854,south,direct,0,44.0
43744,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,716500,4.0,0.4473,2145.71,360.0,not_neg,not_int,not_lpsm,1198000.0,sb,pr,home,1U,7200.0,CRIF,852,EXP,35-44,not_inst,59.80801336,North,direct,0,44.0
44226,2019,cf,Male,nopre,type1,p1,l2,nopc,nob/c,136500,,,,300.0,neg_amm,int_only,not_lpsm,148000.0,sb,pr,home,1U,2580.0,EXP,706,CIB,35-44,not_inst,92.22972973,North,direct,1,48.0
42852,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,206500,3.625,0.24,7687.68,360.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1U,4920.0,EXP,842,EXP,55-64,not_inst,77.05223881,central,direct,0,26.0
40666,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,446500,3.5,-0.088,0.0,360.0,not_neg,not_int,not_lpsm,808000.0,sb,pr,home,1U,6840.0,CRIF,769,EXP,55-64,not_inst,55.25990099,south,direct,0,35.0
34865,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,366500,3.125,-0.2861,0.0,360.0,not_neg,not_int,not_lpsm,808000.0,sb,pr,home,1U,6240.0,CIB,571,EXP,65-74,to_inst,45.35891089,North,direct,0,48.0
46108,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,696500,4.25,0.5784,4700.0,360.0,not_neg,not_int,not_lpsm,1198000.0,sb,pr,home,1U,15120.0,CIB,556,CIB,45-54,to_inst,58.13856427,south,direct,0,41.0
29124,2019,ncf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,196500,3.99,1.1118,5766.5,360.0,not_neg,not_int,not_lpsm,228000.0,sb,pr,home,1U,5640.0,CIB,623,EXP,45-54,to_inst,86.18421053,south,direct,0,61.0
29942,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,146500,3.99,0.5785,2718.5,360.0,neg_amm,not_int,not_lpsm,218000.0,sb,pr,home,1U,2340.0,EXP,591,CIB,55-64,to_inst,67.20183486,North,direct,0,53.0
38426,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,296500,3.875,0.0521,0.0,360.0,not_neg,not_int,not_lpsm,1758000.0,sb,pr,home,1U,13500.0,EXP,772,EXP,45-54,not_inst,16.86575654,North,direct,0,27.0
45016,2019,cf,Female,nopre,type3,p3,l1,nopc,nob/c,156500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,6600.0,EQUI,627,EXP,45-54,to_inst,,North,direct,1,
34214,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,486500,4.125,0.4712,4843.51,360.0,not_neg,not_int,not_lpsm,588000.0,sb,pr,home,1U,6180.0,EXP,831,CIB,65-74,to_inst,82.73809524,south,direct,0,34.0
27111,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,396500,3.875,0.2572,6580.14,336.0,neg_amm,not_int,not_lpsm,468000.0,sb,pr,home,1U,8940.0,CIB,602,EXP,45-54,to_inst,84.72222222,North,direct,0,35.0
40713,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,286500,4.375,0.7219,,240.0,not_neg,not_int,not_lpsm,658000.0,sb,pr,home,1U,4740.0,CIB,768,EXP,45-54,to_inst,43.54103343,North,direct,0,40.0
36915,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,416500,,,,360.0,neg_amm,not_int,not_lpsm,508000.0,sb,pr,home,1U,9600.0,CIB,526,CIB,25-34,not_inst,81.98818898,south,direct,1,25.0
31286,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,486500,3.99,0.34,0.0,360.0,not_neg,not_int,not_lpsm,788000.0,sb,pr,home,1U,7440.0,EXP,754,EXP,45-54,not_inst,61.73857868,North,direct,0,42.0
46656,2019,cf,Joint,nopre,type2,p3,l1,nopc,b/c,336500,4.25,1.1254,6215.35,360.0,not_neg,not_int,not_lpsm,468000.0,sb,pr,home,1U,5520.0,CIB,844,EXP,45-54,to_inst,71.9017094,south,direct,0,30.0
31962,2019,cf,Male,nopre,type1,p1,l2,nopc,nob/c,396500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,5520.0,EQUI,503,EXP,25-34,not_inst,,south,direct,1,
35992,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,726500,3.75,0.2488,7492.29,360.0,not_neg,not_int,not_lpsm,1138000.0,sb,pr,home,1U,9660.0,CIB,665,EXP,45-54,not_inst,63.8400703,North,direct,0,42.0
34241,2019,cf,Male,nopre,type3,p3,l1,nopc,nob/c,216500,,,,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,4620.0,CIB,848,EXP,>74,to_inst,72.65100671,North,direct,1,49.0
29643,2019,cf,Sex Not Available,pre,type1,p1,l1,nopc,nob/c,296500,3.99,0.4723,4174.1,360.0,not_neg,not_int,not_lpsm,328000.0,sb,pr,home,1U,3720.0,CIB,882,CIB,45-54,to_inst,90.39634146,south,direct,0,41.0
47969,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,306500,4.375,0.6405,2692.5,240.0,not_neg,not_int,not_lpsm,398000.0,sb,pr,home,1U,6720.0,CRIF,676,CIB,25-34,to_inst,77.01005025,central,direct,0,46.0
41962,2019,cf,Male,nopre,type2,p3,l1,nopc,b/c,296500,4.75,1.0721,0.0,360.0,not_neg,not_int,not_lpsm,348000.0,sb,pr,home,1U,3660.0,CIB,672,CIB,45-54,to_inst,85.20114943,North,direct,0,52.0
48066,2019,cf,Sex Not Available,nopre,type1,p2,l1,nopc,nob/c,306500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,2640.0,EQUI,657,EXP,65-74,not_inst,,south,direct,1,
29213,2019,ncf,Joint,nopre,type1,p3,l1,nopc,nob/c,106500,4.5,1.3146,1875.0,180.0,not_neg,not_int,not_lpsm,188000.0,sb,pr,home,1U,3600.0,CRIF,801,EXP,65-74,to_inst,56.64893617,North,direct,0,33.0
43297,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,506500,4.375,0.6606,4228.16,360.0,not_neg,not_int,not_lpsm,638000.0,sb,pr,home,1U,9180.0,CRIF,865,EXP,35-44,not_inst,79.38871473,North,direct,0,36.0
45110,2019,cf,Male,nopre,type2,p1,l1,nopc,b/c,116500,3.99,1.2815,2048.45,360.0,not_neg,not_int,not_lpsm,118000.0,sb,pr,home,1U,3000.0,CIB,534,CIB,<25,to_inst,98.72881356,North,direct,0,44.0
33351,2019,cf,Female,pre,type1,p4,l1,nopc,nob/c,406500,,,,360.0,not_neg,not_int,not_lpsm,748000.0,sb,ir,home,1U,23880.0,EXP,654,CIB,45-54,not_inst,54.34491979,North-East,direct,1,38.0
33225,2019,cf,Male,nopre,type2,p1,l1,nopc,b/c,266500,,,,360.0,not_neg,not_int,not_lpsm,278000.0,sb,pr,home,1U,3360.0,CIB,701,CIB,<25,to_inst,95.86330935,North,direct,1,60.0
50643,2019,cf,Male,nopre,type1,p3,l2,nopc,nob/c,406500,5.375,1.091,1254.95,360.0,not_neg,not_int,not_lpsm,608000.0,sb,ir,home,3U,3600.0,EXP,790,CIB,45-54,not_inst,66.85855263,North,direct,0,39.0
34055,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,216500,5.25,0.7151,4551.75,360.0,not_neg,not_int,not_lpsm,328000.0,sb,ir,home,1U,14940.0,EXP,500,EXP,35-44,to_inst,66.00609756,North,direct,0,41.0
34051,2019,cf,Sex Not Available,nopre,type1,p4,l2,nopc,nob/c,266500,3.99,0.5123,3150.25,180.0,not_neg,not_int,not_lpsm,398000.0,sb,pr,home,1U,5520.0,CRIF,754,EXP,55-64,to_inst,66.95979899,south,direct,0,40.0
31901,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,586500,3.875,0.0169,0.0,360.0,not_neg,not_int,not_lpsm,658000.0,sb,pr,home,1U,12600.0,CRIF,835,EXP,25-34,not_inst,89.1337386,North,direct,0,36.0
28690,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,216500,3.99,0.4417,5585.0,360.0,not_neg,not_int,not_lpsm,318000.0,sb,pr,home,1U,4440.0,CIB,709,EXP,65-74,to_inst,68.08176101,south,direct,0,31.0
